City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
206,saint-francois,46.42,3.91,46.0,81,0,3.36,FR,1605815147
207,guymon,36.68,-101.48,80.6,21,1,9.17,US,1605815147
208,simao,22.79,100.97,52.25,92,0,0.31,CN,1605815147
209,abu dhabi,24.47,54.37,77.0,57,0,4.7,AE,1605815002
210,port macquarie,-31.43,152.92,61.0,97,11,12.91,AU,1605815030
211,kutum,14.2,24.67,69.55,27,0,8.01,SD,1605815147
212,aswan,24.09,32.91,68.65,30,0,8.93,EG,1605815147
213,ahipara,-35.17,173.17,61.66,58,64,6.58,NZ,1605815147
214,mahibadhoo,3.78,72.97,82.35,70,60,8.12,MV,1605815147
215,san quintin,30.48,-115.95,73.0,49,99,13.76,MX,1605815147
216,nhulunbuy,-12.23,136.77,77.0,88,74,8.63,AU,1605815147
217,southbridge,42.08,-72.03,41.0,46,86,4.0,US,1605815148
218,caledon,-34.23,19.43,62.01,79,0,3.0,ZA,1605815148
219,saint-georges,12.06,-61.75,86.0,70,40,19.46,GD,1605815148
220,amahai,-3.33,128.92,82.0,92,12,3.8,ID,1605815148
221,chengde,40.97,117.94,26.04,90,0,3.98,CN,1605815148
222,airai,-8.93,125.41,61.47,100,100,1.92,TL,1605815148
223,deputatskiy,69.3,139.9,-7.58,91,40,5.12,RU,1605815148
224,maragogi,-9.01,-35.22,79.56,74,100,12.08,BR,1605815148
225,filottrano,43.44,13.35,52.0,100,0,2.24,IT,1605815148
226,fukue,32.69,128.84,64.11,82,100,18.52,JP,1605815148
227,minot,48.23,-101.3,30.99,86,90,3.36,US,1605815028
228,tazovskiy,67.47,78.7,14.29,97,97,10.76,RU,1605815148
229,boyolangu,-8.12,111.89,77.36,84,95,2.66,ID,1605815149
230,grants pass,42.44,-123.33,48.2,76,40,0.92,US,1605815149
231,tall kayf,37.08,41.07,48.2,70,0,4.23,TR,1605815149
232,eenhana,-17.47,16.33,74.26,63,58,6.67,NA,1605815149
233,poya,-21.35,165.15,75.16,66,6,5.46,NC,1605815149
234,palmer,42.16,-72.33,42.01,44,75,12.75,US,1605815149
235,pathein,16.78,94.73,68.41,78,25,3.49,MM,1605815149
236,san patricio,28.02,-97.52,82.4,45,75,8.05,US,1605815149
237,wajima,37.4,136.9,69.1,75,100,28.95,JP,1605815149
238,husavik,66.04,-17.34,15.8,72,0,2.24,IS,1605815149
239,tautira,-17.73,-149.15,84.0,74,75,3.36,PF,1605815150
240,hualmay,-11.1,-77.61,71.2,62,4,11.83,PE,1605815150
241,butterworth,5.4,100.36,78.8,94,40,2.24,MY,1605815150
242,sur,22.57,59.53,74.07,75,0,5.55,OM,1605815150
243,ciudad bolivar,8.12,-63.55,88.88,54,27,6.78,VE,1605815150
244,labrea,-7.26,-64.8,88.84,59,82,3.38,BR,1605815150
245,panaba,21.28,-88.27,80.74,74,33,17.92,MX,1605815150
246,bethel,41.37,-73.41,43.0,45,1,6.93,US,1605815044
247,mabaruma,8.2,-59.78,83.14,68,1,7.25,GY,1605815150
248,shimoda,34.67,138.95,63.0,85,100,16.28,JP,1605815150
249,najran,17.49,44.13,64.4,39,0,1.97,SA,1605815150
250,hedaru,-4.5,37.9,75.02,75,92,5.01,TZ,1605815150
251,fairbanks,64.84,-147.72,-16.6,75,20,3.87,US,1605815132
252,jimeta,9.28,12.47,82.6,31,21,3.24,NG,1605815151
253,whitehorse,60.72,-135.05,-2.0,83,75,5.82,CA,1605815075
254,nome,64.5,-165.41,19.4,67,75,11.41,US,1605815151
255,avigliano,40.73,15.72,44.01,98,0,3.87,IT,1605815151
256,grigiskes,54.68,25.08,45.0,93,90,13.87,LT,1605815151
257,teguldet,57.31,88.17,15.12,95,100,11.95,RU,1605815151
258,kaitangata,-46.28,169.85,61.0,54,100,7.67,NZ,1605815151
259,lerwick,60.15,-1.15,39.2,60,90,13.87,GB,1605815151
260,erdenet,49.03,104.08,10.2,93,100,3.33,MN,1605815151
261,petropavlovsk-kamchatskiy,53.05,158.65,30.2,42,40,13.42,RU,1605815151
262,igarka,67.47,86.58,4.1,93,100,16.42,RU,1605815151
263,port lincoln,-34.73,135.87,57.18,87,6,12.86,AU,1605815151
264,karasjok,69.47,25.51,39.2,91,75,48.32,NO,1605815152
265,parnarama,-5.68,-43.09,74.39,92,100,7.87,BR,1605815152
266,prieska,-29.66,22.75,73.15,35,0,24.14,ZA,1605815152
267,hambantota,6.12,81.12,75.2,100,0,4.7,LK,1605815152
268,shubarkuduk,49.14,56.49,17.17,93,0,2.04,KZ,1605815152
269,korhogo,9.45,-5.63,78.06,35,51,2.42,CI,1605815152
270,haines junction,60.75,-137.51,-11.2,69,93,1.12,CA,1605815152
271,hamilton,39.18,-84.53,64.4,23,1,13.87,US,1605814871
272,belmonte,-15.86,-38.88,82.4,88,90,11.41,BR,1605815152
273,dunedin,-45.87,170.5,61.0,54,100,5.44,NZ,1605815152
274,pierre,44.37,-100.35,57.99,43,1,5.82,US,1605815152
275,mattru,7.62,-11.83,76.06,93,28,3.02,SL,1605815152
276,pacifica,37.61,-122.49,59.0,87,75,5.82,US,1605814886
277,alihe,50.57,123.72,15.28,83,0,2.44,CN,1605815153
278,aykhal,66.0,111.5,-1.93,89,100,15.48,RU,1605815153
279,novoagansk,61.94,76.66,19.53,93,94,14.9,RU,1605815153
280,cockburn town,21.46,-71.14,80.35,79,100,22.82,TC,1605815153
281,pevek,69.7,170.31,14.31,97,100,4.63,RU,1605815153
282,cabinda,-5.55,12.2,77.9,85,99,5.08,AO,1605815153
283,komsomolskiy,40.43,71.72,21.2,62,25,2.24,UZ,1605815153
284,north branch,45.51,-92.98,55.4,54,1,4.88,US,1605815153
285,san agustin,20.53,-103.47,75.0,31,5,12.75,MX,1605815153
286,dourbali,11.81,15.86,78.62,23,1,9.64,TD,1605815153
287,sapouy,11.55,-1.77,77.32,23,74,5.23,BF,1605815153
288,lata,40.16,-8.33,66.99,82,0,1.01,PT,1605815153
289,tahta,26.77,31.5,64.4,67,0,5.82,EG,1605815154
290,miri,4.41,114.01,75.2,100,40,3.36,MY,1605815154
291,kavieng,-2.57,150.8,82.62,76,42,8.34,PG,1605815154
292,nemuro,43.32,145.57,55.4,91,100,24.4,JP,1605815154
293,kodiak,57.79,-152.41,35.6,93,90,13.8,US,1605815154
294,santo tomas,14.11,121.14,79.0,83,20,4.7,PH,1605814996
295,novo oriente,-5.53,-40.77,93.79,27,75,2.59,BR,1605815154
296,de-kastri,51.47,140.78,15.42,85,100,7.45,RU,1605815154
297,alofi,-19.06,-169.92,80.6,88,23,5.82,NU,1605815154
298,barcelos,41.54,-8.62,63.0,87,0,5.82,PT,1605815155
299,george town,5.41,100.34,78.8,94,40,2.24,MY,1605815110
300,farafangana,-22.82,47.83,73.09,79,17,8.08,MG,1605815155
301,port blair,11.67,92.75,78.62,79,100,10.87,IN,1605814935
302,tigil,57.8,158.67,15.35,96,100,5.12,RU,1605815155
303,harper,4.38,-7.72,79.34,82,100,5.23,LR,1605815155
304,agadir,30.42,-9.6,66.2,82,20,5.82,MA,1605815155
305,torbay,47.67,-52.73,30.99,58,75,17.22,CA,1605815155
306,nago,26.59,127.98,73.4,88,1,6.62,JP,1605815155
307,nalut,30.33,10.85,59.23,65,18,9.15,LY,1605815155
308,guerrero negro,27.98,-114.06,77.18,48,0,14.99,MX,1605815155
309,asau,46.43,26.4,37.99,36,0,4.45,RO,1605815155
310,puerto suarez,-18.95,-57.8,89.6,59,8,5.82,BO,1605815156
311,tasiilaq,65.61,-37.64,28.4,68,75,18.34,GL,1605815156
312,klaksvik,62.23,-6.59,32.0,77,91,1.12,FO,1605815156
313,nagato,34.38,131.2,66.2,88,75,9.17,JP,1605815156
314,victoria,22.29,114.16,75.99,88,1,6.38,HK,1605814865
315,gondar,12.6,37.47,59.23,44,0,3.87,ET,1605815156
316,paamiut,61.99,-49.67,32.67,92,98,8.57,GL,1605815156
317,broken hill,-31.95,141.43,68.0,42,100,11.41,AU,1605815156
318,zhangye,38.93,100.45,30.58,91,99,11.81,CN,1605815156
319,sept-iles,50.2,-66.38,24.01,57,90,4.7,CA,1605815019
320,angoche,-16.23,39.91,80.19,77,0,13.91,MZ,1605815156
